search_term,wikipage,type
ELEMENT_GLOBAL.2.103712,Acadian Flycatcher,spp
Empidonax virescens,Acadian Flycatcher,spp
Empidonax virescens,Acadian Flycatcher,spp
Acadian Flycatcher,Acadian Flycatcher,spp
2778A3F42BBFEBD5,Acadian Flycatcher,spp
AFWA Wildlife Viewing and Nature Tourism Group,AFWA Wildlife Viewing and Nature Tourism Working Group,org
ELEMENT_GLOBAL.2.104821,Alder Flycatcher,spp
Empidonax alnorum,Alder Flycatcher,spp
Empidonax alnorum,Alder Flycatcher,spp
Alder Flycatcher,Alder Flycatcher,spp
338088120A17D3EA,Alder Flycatcher,spp
Selasphorus sasin,Allen's Hummingbird,spp
Selasphorus sasin,Allen's Hummingbird,spp
Allen's Hummingbird,Allen's Hummingbird,spp
C25794D595D7B943,Allen's Hummingbird,spp
ELEMENT_GLOBAL.2.100007,American Avocet,spp
Recurvirostra americana,American Avocet,spp
Recurvirostra americana,American Avocet,spp
American Avocet,American Avocet,spp
8EB0C1FABC1D725A,American Avocet,spp
ABC,American Bird Conservancy,org
American Bird Conservancy,American Bird Conservancy,org
ABA,American Birding Association,org
American Birding Association,American Birding Association,org
ELEMENT_GLOBAL.2.103409,American Bittern,spp
Botaurus lentiginosus,American Bittern,spp
Botaurus lentiginosus,American Bittern,spp
American Bittern,American Bittern,spp
13E9F9B48CD5A08A,American Bittern,spp
ELEMENT_GLOBAL.2.102967,American Black Duck,spp
Anas rubripes,American Black Duck,spp
Anas rubripes,American Black Duck,spp
American Black Duck,American Black Duck,spp
C732CB106EE8BAE8,American Black Duck,spp
ELEMENT_GLOBAL.2.103406,American Coot,spp
Fulica americana,American Coot,spp
Fulica americana,American Coot,spp
American Coot,American Coot,spp
361EA10C79791B9F,American Coot,spp
ELEMENT_GLOBAL.2.104686,American Crow,spp
Corvus brachyrhynchos,American Crow,spp
Corvus brachyrhynchos,American Crow,spp
American Crow,American Crow,spp
9E9F24769B6ACBE3,American Crow,spp
ELEMENT_GLOBAL.2.100680,American Golden-Plover,spp
Pluvialis dominica,American Golden-Plover,spp
Pluvialis dominica,American Golden-Plover,spp
American Golden-Plover,American Golden-Plover,spp
2143A8526CA7C809,American Golden-Plover,spp
Spinus tristis,American Goldfinch,spp
Spinus tristis,American Goldfinch,spp
American Goldfinch,American Goldfinch,spp
C9ABA616B963B563,American Goldfinch,spp
ELEMENT_GLOBAL.2.101079,American Kestrel,spp
Falco sparverius,American Kestrel,spp
Falco sparverius,American Kestrel,spp
American Kestrel,American Kestrel,spp
20C2214E655A79AB,American Kestrel,spp
ELEMENT_GLOBAL.2.102614,American Oystercatcher,spp
Haematopus palliatus,American Oystercatcher,spp
Haematopus palliatus,American Oystercatcher,spp
American Oystercatcher,American Oystercatcher,spp
981CE782575DD8E7,American Oystercatcher,spp
American Oystercatcher Working Group,American Oystercatcher Working Group,org
