search_term,id
AFWA Wildlife Viewing and Nature Tourism Group,org-afwa-wildlife-viewing-and-nature-tourism-group
AFWA,org-afwa-wildlife-viewing-and-nature-tourism-group
American Bird Conservancy,org-american-bird-conservancy
ABC,org-american-bird-conservancy
American Birding Association,org-american-birding-association
ABA,org-american-birding-association
American Oystercatcher Working Group,org-american-oystercatcher-working-group
AOWG,org-american-oystercatcher-working-group
Appalachian Landscape Conservation Cooperative,org-appalachian-landscape-conservation-cooperative
ALCC,org-appalachian-landscape-conservation-cooperative
Association of Fish and Wildlife Agencies,org-association-of-fish-and-wildlife-agencies
AFWA,org-association-of-fish-and-wildlife-agencies
Atlantic Coast Joint Venture,org-atlantic-coast-joint-venture
ACJV,org-atlantic-coast-joint-venture
Atlantic Flyway Council,org-atlantic-flyway-council
AFC,org-atlantic-flyway-council
Biodiversity and Spatial Information Center,org-biodiversity-and-spatial-information-center
BSIC,org-biodiversity-and-spatial-information-center
BirdLife International,org-birdlife-international
BLI,org-birdlife-international
Cape Fear Arch Conservation Collaboration,org-cape-fear-arch-conservation-collaboration
CFACC,org-cape-fear-arch-conservation-collaboration
Carolina Bird Club,org-carolina-bird-club
CBC,org-carolina-bird-club
Catawba College,org-catawba-college
CC,org-catawba-college
Center for Conservation Biology,org-center-for-conservation-biology
CCB,org-center-for-conservation-biology
Chatham Conservation Partnership,org-chatham-conservation-partnership
CCP,org-chatham-conservation-partnership
College of William and Mary,org-college-of-william-and-mary
W&M,org-college-of-william-and-mary
Cornell Lab of Ornithology,org-cornell-lab-of-ornithology
CLO,org-cornell-lab-of-ornithology
Defenders of Wildlife,org-defenders-of-wildlife
DOF,org-defenders-of-wildlife
Ducks Unlimited,org-ducks-unlimited
DU,org-ducks-unlimited
Environment Canada,org-environment-canada
EC,org-environment-canada
Grandfather Mountain,org-grandfather-mountain
GM,org-grandfather-mountain
Greater Uwharrie Conservation Partnership,org-greater-uwharrie-conservation-partnership
GUCP,org-greater-uwharrie-conservation-partnership
Institute for Bird Populations,org-institute-for-bird-populations
IBP,org-institute-for-bird-populations
Max Planck Institute for Ornithology,org-max-planck-institute-for-ornithology
MPIO ,org-max-planck-institute-for-ornithology
National Aeronautics and Space Administration,org-national-aeronautics-and-space-administration
NASA,org-national-aeronautics-and-space-administration
National Audubon Society,org-national-audubon-society
NAS,org-national-audubon-society
National Bobwhite Quail Initiative,org-national-bobwhite-quail-initiative
NBQI,org-national-bobwhite-quail-initiative
National Fish and Wildlife Foundation,org-national-fish-and-wildlife-foundation
NFWF,org-national-fish-and-wildlife-foundation
National Park Service,org-national-park-service
NPS,org-national-park-service
National Wildlife Federation,org-national-wildlife-federation
NWF,org-national-wildlife-federation
NatureServe,org-natureserve
NS,org-natureserve
