id,pri-id,h_id,habitat,p_type,category,priority
1,pri-1,1,spruce-fir-forest,S,,"Focus survey priorities on species believed to be declining, at risk, or exclusively dependent on the rare spruce-fir forest communities (e;g; red crossbill, brown creeper, black-capped chickadee, rock vole, rock shrew, northern flying squirrel, Weller's salamander, pigmy  salamander);"
2,pri-2,1,spruce-fir-forest,S,,"Give secondary priority to surveys for species for which current distribution information is more available (e;g; northern saw-whet owl), or for species associated with additional, more extensive habitats (e;g; masked shrew, smoky shrew, hairy woodpecker, Canada warbler, sharp-shinned hawk, northern slimy salamander);"
3,pri-3,1,spruce-fir-forest,M,,"Establish MAPS Stations, migration banding stations, or other means to monitor population status and trends for bird species not adequately sampled under existing monitoring protocols (i;e;, BBS);"
4,pri-4,1,spruce-fir-forest,M,,"Establish monitoring systems and protocols for small mammal population status and trends including northern flying squirrel, rock shrew, and rock vole;"
5,pri-5,1,spruce-fir-forest,M,,Establish monitoring systems and protocols for spruce-fir associated amphibians such as Weller's and pigmy salamanders;
6,pri-6,1,spruce-fir-forest,M,,Establish mechanisms for monitoring the distribution and condition of spruce-fir habitats through time;
7,pri-7,1,spruce-fir-forest,R,Genetics,"Studies to explore the degree of endemism of Southern Appalachian populations (e;g; pine siskin, red crossbill, northern saw-whet owl, black-capped chickadee);"
8,pri-8,1,spruce-fir-forest,R,Genetics,"Studies to explore the degree of genetic isolation of species restricted to high elevations (e;g; northern flying squirrel, rock vole, rock shrew, Weller's salamander, northern saw-whet owl);"
9,pri-9,1,spruce-fir-forest,R,Habitat,Studies to document ecological relationships between habitat use and availability for all taxonomic groups;
10,pri-10,1,spruce-fir-forest,R,Habitat,Studies to effectively map and/or model spruce-fir habitats both within and between habitat islands;
11,pri-11,1,spruce-fir-forest,R,Habitat,Studies on the impact of air pollution and climate change on the future availability of spruce-fir forests in North Carolina;
12,pri-12,1,spruce-fir-forest,R,Habitat,Studies to document forest management and restoration techniques that will benefit the habitat and associated species;
13,pri-13,1,spruce-fir-forest,R,Population demographics,"Research on population demographics including trends, population structure, survivorship, reproduction, and population viability for all spruce-fir associated species/groups;"
14,pri-14,2,bogs-and-associated-wetlands,S,,"Prioritize species that are state or federally listed as endangered, threatened, or special concern (bog turtle, mole salamander, four-toed salamander), or those often  utilizing mountain bog habitats (Alder flycatcher);"
15,pri-15,2,bogs-and-associated-wetlands,S,," Secondarily prioritize species facing significant threat, thought to be declining, or those for which we have limited information on their distribution and status (golden-winged warbler, willow flycatcher, American woodcock, rails, meadow jumping mouse, spotted salamander, marbled salamander, three-lined salamander, common ribbonsnake);"
16,pri-16,2,bogs-and-associated-wetlands,S,,
17,pri-17,2,bogs-and-associated-wetlands,S,,"Work to develop a model to predict habitat for bog turtles, based on characteristics at known localities; this could lead to additional survey sites for other bog herpetofauna;"
18,pri-18,2,bogs-and-associated-wetlands,R,Genetics,"Genetic studies to determine degree of gene flow between populations and to assess overall population health for species restricted to this habitat (i;e; bog turtle), given the isolated nature of mountain bogs;"
19,pri-19,2,bogs-and-associated-wetlands,R,Genetics,Genetic studies of other priority species to examine degree of isolation;
