hab_section|hab_wikipage|pri_wikipage|type|text
4.3.1|Bogs and Fens|NCWAP 2015 Surveys Priority 1|surveys|For many of the priority species associated with mountain bogs, we do not have a clear understanding of their current distribution within the state. We must undertake surveys to gather baseline information on the distribution and status of most of these species.
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 2|research|Genetic studies to determine degree of gene flow between populations and to assess overall population health for species restricted to this habitat(i.e., Bog Turtle), given the isolated nature of mountain bogs.
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 3|research|Study amphibian movements to and from breeding habitats and examine upland habitat use (e.g., Ambystomatid Salamanders, Junaluska Salamander, Mountain Chorus Frog).
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 4|research|Investigate minimum hydroperiods needed by priority amphibian species that utilize ephemeral pools and wetlands. Results can be used to determine when supplemental or interventive measures are needed to support breeding periods and metamorphosis during drought periods.
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 5|research|Establish a captive breeding programfor Bog Turtles and work with land conservation partners to identify sites for population augmentation.
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 6|research|Specific bog management needs to include the control of woody encroachment and succession, the maintenance (and where necessary, restoration) of natural surface water and groundwater hydrology (using ditch plugs, temporary dams, level spreaders, or other engineering devices), the restoration of herbaceous vegetation, and the prohibition of taking rare bog-related species (e.g., Bog Turtle).
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 7|research|Use clearing methods that create the least impacts; avoid use of chemicals. Where appropriate, use prescribed burning to control encroachment by hardwoods. If mowing, limit to once a year or less and set blade height between 1 and 2 feet to avoid destroying nesting bird and small mammal habitat.If using heavy equipment, disturb only one patch of the site at a time and minimize ruts and compaction of soils and vegetation to the extent possible (Somers et al. 2000).
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 8|research|If livestock grazing is allowed, limit number of animals to one per acre and allow light to moderate seasonal (winter only) grazing where possible (Somers et al. 2000).
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 9|research|Provide native vegetation buffers around wetlands to filter pollutants and benefit wildlife (Somers et al. 2000).
4.3.1|Bogs and Fens|NCWAP 2015 Research Priority 10|research|Limit application of fertilizers and lime to lawns and fields surrounding wetlands (Somers et al. 2000).
4.3.1|Bogs and Fens|NCWAP 2015 Monitoring Priority 11|monitoring|Given the limited availability and number of threats facing mountain bog habitat, considerable effort needs to be expended to determine if populations are increasing, decreasing, or remaining stable.
4.3.1|Bogs and Fens|NCWAP 2015 Monitoring Priority 12|monitoring|Monitor amphibian populations to detect incidence of fungal and viral infections (e.g., iridoviruses, chytridiomycosis).
4.3.1|Bogs and Fens|NCWAP 2015 Monitoring Priority 13|monitoring|Monitor connectivity of populations separated by fragmentation.
4.3.1|Bogs and Fens|NCWAP 2015 Monitoring Priority 14|monitoring|If Beaver activity is detected in nearby streams, monitor to detect problems from flooding or inundation.
4.3.1|Bogs and Fens|NCWAP 2015 Conservation Programs And Partnerships Priority 15|conservation programs and partnerships|Focus habitatprotection measures on utilizing existing regulatory frameworks to protect both the habitatand these species (e.g., state and federal endangered species laws, wetland protection laws, etc.).
4.3.1|Bogs and Fens|NCWAP 2015 Conservation Programs And Partnerships Priority 16|conservation programs and partnerships|Fully utilize government conservation programs and incentives (e.g., Farm Bill programs) and partnerships with private landowners to stem the conversion of suitable bogs to other uses.
4.3.1|Bogs and Fens|NCWAP 2015 Conservation Programs And Partnerships Priority 17|conservation programs and partnerships|Actively pursue conservation ownership through acquisition of mountain bogs in concert with state and federal agency partners (e.g., US Fish and Wildlife Service [USFWS], US Forest Service, National Parks Service, Natural Resources Conservation Service, NC Division of Parks and Recreation, NC Natural Heritage Program, local governments, etc.) as well as private conservation partners (e.g., The Nature Conservancy,land trusts).
4.2.2|Category:Aquatic Communities|NCWAP 2015 Surveys Priority 18|surveys|Conduct stream surveys adjacent to areas poised for development (edge of urban expansion) to establish baseline populations and identify problems before development expands.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Surveys Priority 19|surveys|Work cooperatively with partners to collect occurrence and abundance data on macrobenthic species.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Surveys Priority 20|surveys|Conduct surveys to detect presence and collect life-history and abundance data for freshwater snails and crayfishes, as there is limited information available on these species.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 21|research|Expand hatchery facilities and efforts of the Conservation Aquatics Center at NCWRC Marion Hatchery to support aquatic species propagation programs and release juveniles as part of a reintroduction and augmentation program.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 22|research|Conduct genetic research to resolve taxonomic issues for aquatic species.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 23|research|Statewide, assess stream habitats and the effect of perched and undersized pipes and culverts that are a barrier to fish passage.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 24|research|Conduct studies to improve our understanding of habitat trends and key habitat associations for priority species.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 25|research|Investigate relationships between macrobenthic and aquatic priority species assemblages.
4.2.2|Category:Aquatic Communities|NCWAP 2015 Research Priority 26|research|Utilize environmental DNA (eDNA) and other emerging genetic techniques to better understand aquatic species.
