s.name,count(h.name)
Northern Bobwhite,19
Prairie Warbler,16
Red-headed Woodpecker,15
Wood Stork,14
Yellow-crowned Night-Heron,14
American Black Duck,12
Acadian Flycatcher,11
Bachman's Sparrow,11
Bald Eagle,11
Barn Owl,11
Clay-colored Sparrow,11
Kentucky Warbler,11
LeConte's Sparrow,10
Rusty Blackbird,10
Snowy Egret,10
American Kestrel,9
Swainson's Warbler,9
Brown-headed Nuthatch,8
Common Gallinule,8
Gadwall,8
Golden-winged Warbler,8
Hermit Thrush,8
King Rail,8
Lincoln's Sparrow,8
Prothonotary Warbler,8
Ruffed Grouse,8
Double-crested Cormorant,7
Henslow's Sparrow,7
Least Bittern,7
Least Tern,7
Loggerhead Shrike,7
Merlin,7
Nashville Warbler,7
White Ibis,7
Worm-eating Warbler,7
Cerulean Warbler,6
Evening Grosbeak,6
Great Black-backed Gull,6
Herring Gull,6
Tundra Swan,6
Virginia Rail,6
Bank Swallow,5
Black Skimmer,5
Canvasback,5
Common Tern,5
Forster's Tern,5
Glossy Ibis,5
Little Blue Heron,5
Louisiana Waterthrush,5
Northern Harrier,5
Painted Bunting,5
Peregrine Falcon,5
Red-cockaded Woodpecker,5
Royal Tern,5
Ruddy Turnstone,5
Sandwich Tern,5
Swallow-tailed Kite,5
Yellow Rail,5
American Avocet,4
Black-crowned Night-Heron,4
Blackburnian Warbler,4
Bobolink,4
Brown Pelican,4
Caspian Tern,4
Marbled Godwit,4
Savannah Sparrow,4
Snow Goose,4
Veery,4
Willet,4
American Bittern,3
American Oystercatcher,3
Black Rail,3
Black-bellied Plover,3
Common Raven,3
Gull-billed Tern,3
Nelson's Sparrow,3
Piping Plover,3
Red Knot,3
Saltmarsh Sparrow,3
Sanderling,3
Semipalmated Sandpiper,3
Tricolored Heron,3
Vesper Sparrow,3
Whimbrel,3
Wilson's Plover,3
Alder Flycatcher,2
Brant,2
Clapper Rail,2
Long-tailed Duck,2
Northern Saw-whet Owl,2
Red Crossbill,2
Surf Scoter,2
Velvet Scoter,2
White-winged Scoter,2
Brewer's Blackbird,1
Olive-sided Flycatcher,1
Purple Sandpiper,1
Seaside Sparrow,1
